epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,287.466,0.42359,0.69556,0.82832,0.62991,0.99952,0.74259,0.69456,0.39489,0.64689,0.77602,0.00025804,0.00025804,0.00025804
44,294.211,0.41857,0.70129,0.82684,0.64536,0.9949,0.73628,0.68787,0.42305,0.64875,0.77936,0.000255683,0.000255683,0.000255683
45,313.664,0.40237,0.66627,0.82684,0.64211,0.98947,0.74018,0.69088,0.43789,0.66534,0.7826,0.000253327,0.000253327,0.000253327
46,320.406,0.4061,0.66418,0.82862,0.63845,0.99439,0.76079,0.71868,0.37546,0.64726,0.77765,0.000250971,0.000250971,0.000250971
47,327.039,0.41174,0.67816,0.82834,0.63505,0.98643,0.73675,0.69962,0.35232,0.63707,0.77539,0.000248615,0.000248615,0.000248615
48,333.615,0.41899,0.69114,0.83577,0.63209,0.99232,0.76005,0.72359,0.34381,0.62944,0.77459,0.000246259,0.000246259,0.000246259
49,340.217,0.41715,0.67651,0.82793,0.63294,0.99709,0.77694,0.744,0.33381,0.61819,0.77148,0.000243902,0.000243902,0.000243902
50,346.987,0.41377,0.67948,0.83214,0.63455,0.99777,0.75603,0.70802,0.42223,0.65912,0.77628,0.000241546,0.000241546,0.000241546
51,353.614,0.41646,0.6679,0.83233,0.6359,0.97947,0.73,0.68268,0.42241,0.65365,0.77934,0.00023919,0.00023919,0.00023919
52,360.383,0.41171,0.6689,0.83087,0.63541,0.97045,0.72998,0.69377,0.35442,0.64707,0.77194,0.000236834,0.000236834,0.000236834
53,367.064,0.39465,0.67055,0.82526,0.6334,0.99274,0.73554,0.69897,0.36267,0.64865,0.77353,0.000234478,0.000234478,0.000234478
54,373.702,0.39781,0.65746,0.82113,0.65017,0.9802,0.78129,0.73746,0.36565,0.62253,0.77458,0.000232121,0.000232121,0.000232121
55,380.281,0.4059,0.67173,0.82311,0.64472,1,0.74338,0.69859,0.41179,0.625,0.78033,0.000229765,0.000229765,0.000229765
56,386.92,0.38566,0.6632,0.82305,0.64776,0.97578,0.72809,0.68382,0.41309,0.64349,0.77757,0.000227409,0.000227409,0.000227409
57,393.524,0.40428,0.67866,0.82526,0.63785,0.98305,0.7174,0.67422,0.38076,0.66469,0.77518,0.000225053,0.000225053,0.000225053
58,400.155,0.39606,0.64862,0.82321,0.63532,0.9842,0.70443,0.66769,0.37064,0.64555,0.77598,0.000222697,0.000222697,0.000222697
59,406.795,0.39702,0.67048,0.82947,0.62362,0.99214,0.71523,0.67003,0.40393,0.68489,0.782,0.00022034,0.00022034,0.00022034
60,413.555,0.40394,0.65368,0.82613,0.62432,0.98922,0.71249,0.6657,0.4183,0.66618,0.77987,0.000217984,0.000217984,0.000217984
61,420.153,0.38902,0.6416,0.8162,0.64198,0.98945,0.73773,0.69653,0.39482,0.63435,0.77582,0.000215628,0.000215628,0.000215628
62,426.753,0.39091,0.65428,0.81824,0.64542,0.99428,0.74985,0.70977,0.37853,0.6303,0.77294,0.000213272,0.000213272,0.000213272
63,433.34,0.39473,0.65296,0.82223,0.6396,0.99653,0.73529,0.68912,0.38777,0.62799,0.77575,0.000210916,0.000210916,0.000210916
64,439.952,0.39945,0.66004,0.82325,0.64618,0.99045,0.74386,0.70821,0.3659,0.62241,0.77463,0.000208559,0.000208559,0.000208559
65,446.504,0.38788,0.65416,0.81481,0.65014,0.98678,0.72775,0.69174,0.36947,0.63452,0.77549,0.000206203,0.000206203,0.000206203
66,453.09,0.39831,0.66925,0.82427,0.64461,0.9765,0.75215,0.70974,0.39798,0.65029,0.77736,0.000203847,0.000203847,0.000203847
67,459.663,0.39496,0.65632,0.82215,0.63755,0.99055,0.73761,0.7046,0.33965,0.64549,0.77078,0.000201491,0.000201491,0.000201491
68,466.271,0.40121,0.66294,0.83115,0.63392,0.9842,0.72567,0.69296,0.33944,0.64185,0.77026,0.000199135,0.000199135,0.000199135
69,472.872,0.39292,0.65373,0.82792,0.64829,0.99202,0.75787,0.71656,0.40782,0.64755,0.77969,0.000196778,0.000196778,0.000196778
70,479.495,0.38514,0.64778,0.82644,0.64834,0.98762,0.77469,0.72768,0.40261,0.64561,0.77537,0.000194422,0.000194422,0.000194422
71,486.079,0.38381,0.62425,0.81622,0.63406,0.98543,0.73947,0.69153,0.4557,0.66543,0.78143,0.000192066,0.000192066,0.000192066
72,492.704,0.38518,0.62435,0.82881,0.6358,0.97167,0.73857,0.70583,0.35616,0.66026,0.77292,0.00018971,0.00018971,0.00018971
73,499.284,0.38963,0.62598,0.82174,0.64033,0.9691,0.73806,0.70399,0.34417,0.67429,0.7708,0.000187354,0.000187354,0.000187354
74,505.98,0.38739,0.62899,0.82519,0.63556,0.96894,0.74365,0.70744,0.35549,0.67103,0.7731,0.000184997,0.000184997,0.000184997
75,512.64,0.38236,0.6344,0.82972,0.63328,0.95935,0.71599,0.67917,0.3741,0.6716,0.77344,0.000182641,0.000182641,0.000182641
76,519.441,0.37611,0.62365,0.81848,0.62643,0.98573,0.71297,0.68098,0.33732,0.68228,0.77021,0.000180285,0.000180285,0.000180285
77,526.141,0.37653,0.63183,0.81944,0.62201,0.99612,0.72021,0.69084,0.32019,0.67402,0.76724,0.000177929,0.000177929,0.000177929
78,532.775,0.37875,0.62224,0.81359,0.6348,0.98264,0.71819,0.68893,0.33615,0.66028,0.77025,0.000175573,0.000175573,0.000175573
79,539.482,0.39039,0.63325,0.82632,0.63189,0.99306,0.72395,0.67622,0.41443,0.6946,0.77707,0.000173216,0.000173216,0.000173216
80,546.159,0.39238,0.61899,0.82019,0.64133,0.97875,0.72207,0.67949,0.39245,0.65618,0.77515,0.00017086,0.00017086,0.00017086
81,552.868,0.3712,0.61048,0.82042,0.6337,0.99198,0.7384,0.70619,0.3725,0.67288,0.77501,0.000168504,0.000168504,0.000168504
82,559.542,0.36931,0.61455,0.81376,0.62665,0.98943,0.73708,0.70029,0.37492,0.6766,0.77326,0.000166148,0.000166148,0.000166148
83,566.109,0.37793,0.61783,0.82326,0.61838,0.9725,0.72186,0.68418,0.38718,0.69656,0.77499,0.000163792,0.000163792,0.000163792
84,572.717,0.38585,0.62233,0.82682,0.62694,0.99576,0.72631,0.68922,0.37788,0.68872,0.77385,0.000161435,0.000161435,0.000161435
85,579.285,0.36618,0.61617,0.81855,0.62918,0.98717,0.75586,0.72533,0.35421,0.69707,0.77154,0.000159079,0.000159079,0.000159079
86,585.912,0.3732,0.61297,0.81584,0.63676,0.96562,0.76222,0.73291,0.35567,0.67283,0.77152,0.000156723,0.000156723,0.000156723
87,592.522,0.37778,0.62679,0.8212,0.64537,0.98382,0.75281,0.7232,0.33984,0.65726,0.77104,0.000154367,0.000154367,0.000154367
88,599.19,0.37815,0.62267,0.82128,0.64793,0.98588,0.77665,0.73626,0.3881,0.65893,0.77506,0.000152011,0.000152011,0.000152011
89,605.84,0.36788,0.60176,0.81486,0.64573,0.99178,0.76766,0.72141,0.40473,0.66348,0.77589,0.000149654,0.000149654,0.000149654
90,612.455,0.3778,0.6224,0.81605,0.64267,0.98757,0.74699,0.70387,0.41444,0.70452,0.7794,0.000147298,0.000147298,0.000147298
91,619.127,0.36163,0.59513,0.81376,0.63634,0.98495,0.74999,0.70365,0.42781,0.7125,0.77876,0.000144942,0.000144942,0.000144942
92,625.733,0.36057,0.59094,0.8158,0.6438,0.97625,0.73946,0.70572,0.36729,0.7227,0.77264,0.000142586,0.000142586,0.000142586
93,632.324,0.37341,0.61128,0.81866,0.6384,0.98616,0.74722,0.70948,0.39563,0.69884,0.77766,0.00014023,0.00014023,0.00014023
94,638.884,0.36248,0.60985,0.81789,0.6472,0.96719,0.77439,0.7402,0.35963,0.67493,0.77098,0.000137873,0.000137873,0.000137873
95,645.505,0.36456,0.59208,0.81205,0.63595,0.97341,0.75742,0.71422,0.38791,0.67942,0.77592,0.000135517,0.000135517,0.000135517
96,652.116,0.36433,0.59361,0.81364,0.64198,0.96933,0.76886,0.73152,0.37409,0.68563,0.77316,0.000133161,0.000133161,0.000133161
97,658.71,0.35737,0.58697,0.81196,0.63334,0.98102,0.76655,0.72676,0.37359,0.70418,0.77426,0.000130805,0.000130805,0.000130805
98,665.338,0.35788,0.59401,0.81592,0.62309,0.98893,0.76909,0.72712,0.4036,0.7282,0.77766,0.000128449,0.000128449,0.000128449
99,671.966,0.36663,0.5831,0.81742,0.6364,0.98012,0.77631,0.73256,0.40446,0.74568,0.77533,0.000126092,0.000126092,0.000126092
100,678.624,0.36071,0.59253,0.81258,0.63271,0.96831,0.7796,0.74041,0.39904,0.72315,0.77633,0.000123736,0.000123736,0.000123736
101,685.216,0.37389,0.58598,0.81556,0.64238,0.97993,0.78371,0.74507,0.3801,0.69221,0.77333,0.00012138,0.00012138,0.00012138
102,691.866,0.35678,0.58466,0.81935,0.63782,0.96495,0.78772,0.74747,0.39686,0.68888,0.7763,0.000119024,0.000119024,0.000119024
103,698.452,0.35608,0.57,0.80705,0.64131,0.96695,0.75464,0.72052,0.37945,0.70202,0.77474,0.000116668,0.000116668,0.000116668
104,705.078,0.36547,0.58733,0.81779,0.63963,0.95034,0.77148,0.73802,0.3491,0.6858,0.77177,0.000114311,0.000114311,0.000114311
105,711.676,0.36532,0.5823,0.81826,0.65733,0.93188,0.77894,0.74681,0.34503,0.70645,0.7725,0.000111955,0.000111955,0.000111955
106,718.256,0.35325,0.58011,0.81304,0.64872,0.9428,0.81077,0.77824,0.34691,0.70776,0.7702,0.000109599,0.000109599,0.000109599
107,724.832,0.35382,0.58055,0.8133,0.64144,0.96593,0.78712,0.74706,0.37618,0.72047,0.77254,0.000107243,0.000107243,0.000107243
108,731.474,0.35124,0.56992,0.81642,0.63334,0.98034,0.76431,0.72221,0.41728,0.7648,0.77723,0.000104887,0.000104887,0.000104887
109,738.134,0.35666,0.57609,0.81739,0.63341,0.9637,0.74627,0.71198,0.37903,0.74935,0.77308,0.00010253,0.00010253,0.00010253
110,744.736,0.34642,0.56489,0.81273,0.62429,0.98369,0.73312,0.69822,0.37221,0.74772,0.77299,0.000100174,0.000100174,0.000100174
111,751.347,0.35766,0.56821,0.81233,0.63082,0.98926,0.74763,0.71063,0.38086,0.7439,0.77419,9.7818e-05,9.7818e-05,9.7818e-05
112,758.093,0.35228,0.57114,0.80992,0.63732,0.98381,0.76253,0.7303,0.36315,0.73409,0.77223,9.54618e-05,9.54618e-05,9.54618e-05
113,764.794,0.35206,0.58691,0.81527,0.63665,0.98189,0.76417,0.72359,0.40561,0.7607,0.77679,9.31056e-05,9.31056e-05,9.31056e-05
114,771.433,0.35277,0.56141,0.81159,0.63208,0.99381,0.77265,0.72827,0.42896,0.76543,0.77962,9.07494e-05,9.07494e-05,9.07494e-05
115,778.077,0.35326,0.55993,0.80994,0.63617,0.98954,0.76942,0.73139,0.38116,0.74308,0.77379,8.83932e-05,8.83932e-05,8.83932e-05
116,784.737,0.34304,0.5637,0.80974,0.631,0.98017,0.75076,0.71631,0.37298,0.77282,0.77486,8.6037e-05,8.6037e-05,8.6037e-05
117,791.48,0.3477,0.53891,0.80791,0.6324,0.95968,0.75366,0.71816,0.36857,0.75029,0.77329,8.36808e-05,8.36808e-05,8.36808e-05
118,798.149,0.35618,0.54982,0.80992,0.63216,0.96574,0.75739,0.71587,0.41314,0.76498,0.77868,8.13246e-05,8.13246e-05,8.13246e-05
119,804.758,0.33687,0.56709,0.81444,0.63785,0.9561,0.75065,0.71817,0.34899,0.73964,0.77237,7.89684e-05,7.89684e-05,7.89684e-05
120,811.379,0.35531,0.56366,0.815,0.6399,0.96694,0.73528,0.69354,0.41391,0.73156,0.77952,7.66122e-05,7.66122e-05,7.66122e-05
121,818.009,0.3558,0.55546,0.81998,0.62629,0.98384,0.72487,0.68962,0.39746,0.75425,0.77747,7.4256e-05,7.4256e-05,7.4256e-05
122,824.578,0.34163,0.54722,0.80903,0.63039,0.97425,0.73327,0.69361,0.40365,0.75659,0.77754,7.18998e-05,7.18998e-05,7.18998e-05
123,831.196,0.34663,0.55108,0.81063,0.63112,0.98634,0.72743,0.69105,0.37837,0.73297,0.77505,6.95436e-05,6.95436e-05,6.95436e-05
124,837.846,0.35125,0.55039,0.80963,0.63672,0.9786,0.72738,0.69107,0.37126,0.77021,0.77291,6.71874e-05,6.71874e-05,6.71874e-05
125,844.465,0.33375,0.55976,0.81292,0.64188,0.96381,0.73065,0.69384,0.37724,0.7488,0.77272,6.48312e-05,6.48312e-05,6.48312e-05
126,851.073,0.34248,0.52404,0.80832,0.63106,0.97723,0.71632,0.68541,0.34328,0.78535,0.76991,6.2475e-05,6.2475e-05,6.2475e-05
127,857.717,0.33976,0.54241,0.80371,0.63337,0.9752,0.70331,0.67062,0.361,0.79682,0.77116,6.01188e-05,6.01188e-05,6.01188e-05
128,864.288,0.34362,0.54891,0.80954,0.63313,0.97352,0.71108,0.68159,0.35877,0.78586,0.77237,5.77626e-05,5.77626e-05,5.77626e-05
129,870.845,0.34672,0.54028,0.80663,0.6324,0.96764,0.71727,0.68568,0.3627,0.789,0.77196,5.54064e-05,5.54064e-05,5.54064e-05
130,877.371,0.34543,0.54882,0.81359,0.63142,0.97065,0.72853,0.69492,0.38657,0.80268,0.77547,5.30502e-05,5.30502e-05,5.30502e-05
131,883.888,0.33775,0.5273,0.8094,0.63799,0.98038,0.70608,0.67411,0.37189,0.81227,0.77416,5.0694e-05,5.0694e-05,5.0694e-05
132,890.457,0.32776,0.53796,0.80985,0.63402,0.98255,0.70331,0.6715,0.37117,0.80766,0.77286,4.83378e-05,4.83378e-05,4.83378e-05
133,897.038,0.33633,0.53181,0.80717,0.63263,0.97998,0.70321,0.6702,0.37515,0.80701,0.77396,4.59816e-05,4.59816e-05,4.59816e-05
134,903.615,0.33075,0.51396,0.8031,0.62538,0.95732,0.70277,0.66407,0.41214,0.81602,0.77765,4.36254e-05,4.36254e-05,4.36254e-05
135,910.24,0.33397,0.50198,0.8042,0.62526,0.97037,0.70729,0.67619,0.36346,0.80881,0.7729,4.12692e-05,4.12692e-05,4.12692e-05
136,916.873,0.32314,0.52329,0.80593,0.6275,0.97436,0.7135,0.68002,0.36535,0.79323,0.77332,3.8913e-05,3.8913e-05,3.8913e-05
137,923.436,0.32689,0.53138,0.81358,0.62573,0.97462,0.71137,0.67952,0.34756,0.76468,0.77144,3.65568e-05,3.65568e-05,3.65568e-05
138,929.961,0.32644,0.51281,0.81027,0.625,0.97188,0.71679,0.68216,0.35906,0.75737,0.77191,3.42006e-05,3.42006e-05,3.42006e-05
